hanreiId,caseName,needsReview,needsSummaryReview,summaryError,fullTextPdf,detailUrl
36141,再審請求棄却決定に対する即時抗告棄却決定に対する特別抗告(再審事件あり(無罪):静岡地方裁判所),,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36141.pdf,https://www.courts.go.jp/hanrei/36141/detail2/index.html
36282,住居侵入被告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36282.pdf,https://www.courts.go.jp/hanrei/36282/detail2/index.html
36285,"所有権移転登記抹消登記手続等,入会権確認請求事件",1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36285.pdf,https://www.courts.go.jp/hanrei/36285/detail2/index.html
36292,"窃盗,窃盗未遂,住居侵入,強盗殺人被告事件",,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36292.pdf,https://www.courts.go.jp/hanrei/36292/detail2/index.html
36301,国際的な協力の下に規制薬物に係る不正行為を助長する行為等の防止を図るための麻薬及び向精神薬取締法等の特例等に関する法律違反幇助被告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36301.pdf,https://www.courts.go.jp/hanrei/36301/detail2/index.html
36346,婚姻費用分担審判に対する抗告審の変更決定に対する特別抗告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36346.pdf,https://www.courts.go.jp/hanrei/36346/detail2/index.html
36359,商法違反被告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36359.pdf,https://www.courts.go.jp/hanrei/36359/detail2/index.html
36365,傷害被告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36365.pdf,https://www.courts.go.jp/hanrei/36365/detail2/index.html
36415,退去強制令書発付処分取消等請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36415.pdf,https://www.courts.go.jp/hanrei/36415/detail2/index.html
36416,国籍確認請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36416.pdf,https://www.courts.go.jp/hanrei/36416/detail2/index.html
36426,預託金返還請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36426.pdf,https://www.courts.go.jp/hanrei/36426/detail2/index.html
36444,"損害賠償請求上告,同附帯上告事件",1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36444.pdf,https://www.courts.go.jp/hanrei/36444/detail2/index.html
36505,損害賠償請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36505.pdf,https://www.courts.go.jp/hanrei/36505/detail2/index.html
36535,証拠開示決定に対する即時抗告棄却決定に対する特別抗告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36535.pdf,https://www.courts.go.jp/hanrei/36535/detail2/index.html
36611,強盗致傷保護事件に関し保護処分に付さない決定に対する抗告の決定に対する再抗告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36611.pdf,https://www.courts.go.jp/hanrei/36611/detail2/index.html
36629,"証券取引法違反,商法違反被告事件",1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36629.pdf,https://www.courts.go.jp/hanrei/36629/detail2/index.html
36787,行政処分取消請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36787.pdf,https://www.courts.go.jp/hanrei/36787/detail2/index.html
36906,障害基礎年金不支給決定取消等請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36906.pdf,https://www.courts.go.jp/hanrei/36906/detail2/index.html
36994,"児童買春,児童ポルノに係る行為等の処罰及び児童の保護等に関する法律違反,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律違反被告事件",,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-36994.pdf,https://www.courts.go.jp/hanrei/36994/detail2/index.html
37339,傷害被告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37339.pdf,https://www.courts.go.jp/hanrei/37339/detail2/index.html
37362,不当利得返還請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37362.pdf,https://www.courts.go.jp/hanrei/37362/detail2/index.html
37401,福島県青少年健全育成条例違反被告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37401.pdf,https://www.courts.go.jp/hanrei/37401/detail2/index.html
37431,"背任,事後収賄,加重収賄被告事件",,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37431.pdf,https://www.courts.go.jp/hanrei/37431/detail2/index.html
37542,弁護士報酬請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37542.pdf,https://www.courts.go.jp/hanrei/37542/detail2/index.html
37742,"住居侵入,強盗致傷被告事件",,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37742.pdf,https://www.courts.go.jp/hanrei/37742/detail2/index.html
37826,業務上横領被告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37826.pdf,https://www.courts.go.jp/hanrei/37826/detail2/index.html
37896,鑑定入院命令に対する取消し請求棄却決定に対する特別抗告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37896.pdf,https://www.courts.go.jp/hanrei/37896/detail2/index.html
37993,"補助金等に係る予算の執行の適正化に関する法律違反,関税法違反被告事件",,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37993.pdf,https://www.courts.go.jp/hanrei/37993/detail2/index.html
38022,"国際的な協力の下に規制薬物に係る不正行為を助長する行為等の防止を図るための麻薬及び向精神薬取締法等の特例等に関する法律違反,覚せい剤取締法違反被告事件",,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38022.pdf,https://www.courts.go.jp/hanrei/38022/detail2/index.html
38052,遺産分割申立て事件の審判に対する抗告棄却決定に対する特別抗告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38052.pdf,https://www.courts.go.jp/hanrei/38052/detail2/index.html
38100,"児童福祉法違反,児童買春,児童ポルノに係る行為等の処罰及び児童の保護等に関する法律違反被告事件",,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38100.pdf,https://www.courts.go.jp/hanrei/38100/detail2/index.html
38159,商法違反被告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38159.pdf,https://www.courts.go.jp/hanrei/38159/detail2/index.html
38179,解職請求署名簿無効決定異議申立棄却決定取消請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38179.pdf,https://www.courts.go.jp/hanrei/38179/detail2/index.html
38200,住居侵入被告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38200.pdf,https://www.courts.go.jp/hanrei/38200/detail2/index.html
38232,証券取引法違反被告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38232.pdf,https://www.courts.go.jp/hanrei/38232/detail2/index.html
38255,保釈保証金の一部を没取する決定に対する抗告棄却決定に対する特別抗告事件,,1,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38255.pdf,https://www.courts.go.jp/hanrei/38255/detail2/index.html
38273,損害填補金請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38273.pdf,https://www.courts.go.jp/hanrei/38273/detail2/index.html
38280,損害賠償等請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38280.pdf,https://www.courts.go.jp/hanrei/38280/detail2/index.html
38347,財産管理を怠る事実の違法確認請求事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-38347.pdf,https://www.courts.go.jp/hanrei/38347/detail2/index.html
50048,銃砲刀剣類所持等取締法違反被告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-50048.pdf,https://www.courts.go.jp/hanrei/50048/detail2/index.html
50081,未成年者略取被告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-50081.pdf,https://www.courts.go.jp/hanrei/50081/detail2/index.html
50092,刑の執行猶予言渡取消決定に対する即時抗告棄却決定に対する特別抗告事件,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-50092.pdf,https://www.courts.go.jp/hanrei/50092/detail2/index.html
50111,刑事補償及び費用補償請求事件についてした即時抗告棄却決定に対する特別抗告,1,,,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-50111.pdf,https://www.courts.go.jp/hanrei/50111/detail2/index.html
